grupo_etario,sexo,semana,semana_texto,fecha_inicio_semana,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom,cambio_porcentual_diarios
50-69,Hombre,11,16 Mar - 21 Mar 20,2020-03-16,1,0,0.0,
50-69,Hombre,13,29 Mar - 04 Apr 20,2020-03-29,10,900.0,0.0,
50-69,Hombre,14,05 Apr - 11 Apr 20,2020-04-05,15,50.0,2.0,0
50-69,Hombre,15,12 Apr - 18 Apr 20,2020-04-12,14,-6.7,3.0,50.0
50-69,Hombre,16,19 Apr - 25 Apr 20,2020-04-19,23,64.3,3.0,0.0
50-69,Hombre,17,26 Apr - 02 May 20,2020-04-26,20,-13.0,5.0,66.7
50-69,Hombre,18,03 May - 09 May 20,2020-05-03,38,90.0,4.0,-20.0
50-69,Hombre,19,10 May - 16 May 20,2020-05-10,77,102.6,8.0,100.0
50-69,Hombre,20,17 May - 23 May 20,2020-05-17,124,61.0,16.0,100.0
50-69,Hombre,21,24 May - 30 May 20,2020-05-24,224,80.6,30.0,87.5
50-69,Hombre,22,31 May - 06 Jun 20,2020-05-31,315,40.6,49.0,63.3
50-69,Hombre,23,07 Jun - 13 Jun 20,2020-06-07,316,0.3,67.0,36.7
50-69,Hombre,24,14 Jun - 20 Jun 20,2020-06-14,321,1.6,69.0,3.0
50-69,Hombre,25,21 Jun - 27 Jun 20,2020-06-21,281,-12.5,73.0,5.8
50-69,Hombre,26,28 Jun - 04 Jul 20,2020-06-28,248,-11.7,60.0,-17.8
50-69,Hombre,27,05 Jul - 11 Jul 20,2020-07-05,202,-18.5,53.0,-11.7
50-69,Hombre,28,12 Jul - 18 Jul 20,2020-07-12,173,-14.4,42.0,-20.8
50-69,Hombre,29,19 Jul - 25 Jul 20,2020-07-19,139,-19.7,37.0,-11.9
50-69,Hombre,30,26 Jul - 01 Aug 20,2020-07-26,125,-10.1,30.0,-18.9
50-69,Hombre,31,02 Aug - 08 Aug 20,2020-08-02,93,-25.6,27.0,-10.0
50-69,Hombre,32,09 Aug - 15 Aug 20,2020-08-09,94,1.1,25.0,-7.4
50-69,Hombre,33,16 Aug - 22 Aug 20,2020-08-16,106,12.8,21.0,-16.0
50-69,Hombre,34,23 Aug - 29 Aug 20,2020-08-23,84,-20.8,23.0,9.5
50-69,Hombre,35,30 Aug - 05 Sep 20,2020-08-30,88,4.8,18.0,-21.7
50-69,Hombre,36,06 Sep - 12 Sep 20,2020-09-06,61,-30.7,22.0,22.2
50-69,Hombre,37,13 Sep - 19 Sep 20,2020-09-13,59,-3.3,13.0,-40.9
50-69,Hombre,38,20 Sep - 26 Sep 20,2020-09-20,70,18.6,15.0,15.4
50-69,Hombre,39,27 Sep - 03 Oct 20,2020-09-27,77,10.0,17.0,13.3
50-69,Hombre,40,04 Oct - 10 Oct 20,2020-10-04,68,-11.7,16.0,-5.9
50-69,Hombre,41,11 Oct - 17 Oct 20,2020-10-11,73,7.4,18.0,12.5
50-69,Hombre,42,18 Oct - 24 Oct 20,2020-10-18,80,9.6,16.0,-11.1
50-69,Hombre,43,25 Oct - 31 Oct 20,2020-10-25,55,-31.2,18.0,12.5
50-69,Hombre,44,01 Nov - 07 Nov 20,2020-11-01,57,3.6,13.0,-27.8
50-69,Hombre,45,08 Nov - 14 Nov 20,2020-11-08,51,-10.5,14.0,7.7
50-69,Hombre,46,15 Nov - 21 Nov 20,2020-11-15,60,17.6,13.0,-7.1
50-69,Hombre,47,22 Nov - 28 Nov 20,2020-11-22,75,25.0,14.0,7.7
50-69,Hombre,48,29 Nov - 05 Dec 20,2020-11-29,55,-26.7,16.0,14.3
