grupo_etario,sexo,semana,semana_texto,fecha_inicio_semana,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom,cambio_porcentual_diarios
50-69,Hombre,49,06 Dec - 12 Dec 20,2020-12-06,48,-12.7,14.0,-12.5
50-69,Hombre,50,13 Dec - 19 Dec 20,2020-12-13,62,29.2,10.0,-28.6
50-69,Hombre,51,20 Dec - 26 Dec 20,2020-12-20,75,21.0,14.0,40.0
50-69,Hombre,52,27 Dec - 02 Jan 21,2020-12-27,59,-21.3,16.0,14.3
50-69,Hombre,53,03 Jan - 09 Jan 21,2021-01-03,76,28.8,12.0,-25.0
50-69,Hombre,54,10 Jan - 16 Jan 21,2021-01-10,91,19.7,18.0,50.0
50-69,Hombre,55,17 Jan - 23 Jan 21,2021-01-17,89,-2.2,20.0,11.1
50-69,Hombre,56,24 Jan - 30 Jan 21,2021-01-24,106,19.1,22.0,10.0
50-69,Hombre,57,31 Jan - 06 Feb 21,2021-01-31,123,16.0,24.0,9.1
50-69,Hombre,58,07 Feb - 13 Feb 21,2021-02-07,109,-11.4,26.0,8.3
50-69,Hombre,59,14 Feb - 20 Feb 21,2021-02-14,104,-4.6,25.0,-3.8
50-69,Hombre,60,21 Feb - 27 Feb 21,2021-02-21,102,-1.9,24.0,-4.0
50-69,Hombre,61,28 Feb - 06 Mar 21,2021-02-28,111,8.8,23.0,-4.2
50-69,Hombre,62,07 Mar - 13 Mar 21,2021-03-07,123,10.8,25.0,8.7
50-69,Hombre,63,14 Mar - 20 Mar 21,2021-03-14,129,4.9,27.0,8.0
50-69,Hombre,64,21 Mar - 27 Mar 21,2021-03-21,162,25.6,30.0,11.1
50-69,Hombre,65,28 Mar - 03 Apr 21,2021-03-28,176,8.6,38.0,26.7
50-69,Hombre,66,04 Apr - 10 Apr 21,2021-04-04,187,6.2,41.0,7.9
50-69,Hombre,67,11 Apr - 17 Apr 21,2021-04-11,189,1.1,44.0,7.3
50-69,Hombre,68,18 Apr - 21 Apr 21,2021-04-18,68,-64.0,44.0,0.0
50-69,Mujer,11,16 Mar - 21 Mar 20,2020-03-16,2,-97.1,28.0,-36.4
50-69,Mujer,12,22 Mar - 28 Mar 20,2020-03-22,1,-50.0,1.0,-96.4
50-69,Mujer,13,29 Mar - 04 Apr 20,2020-03-29,6,500.0,1.0,0.0
50-69,Mujer,14,05 Apr - 11 Apr 20,2020-04-05,6,0.0,0.0,-100.0
50-69,Mujer,15,12 Apr - 18 Apr 20,2020-04-12,10,66.7,1.0,0
50-69,Mujer,16,19 Apr - 25 Apr 20,2020-04-19,9,-10.0,2.0,100.0
50-69,Mujer,17,26 Apr - 02 May 20,2020-04-26,8,-11.1,3.0,50.0
50-69,Mujer,18,03 May - 09 May 20,2020-05-03,19,137.5,5.0,66.7
50-69,Mujer,19,10 May - 16 May 20,2020-05-10,36,89.5,8.0,60.0
50-69,Mujer,20,17 May - 23 May 20,2020-05-17,85,136.1,12.0,50.0
50-69,Mujer,21,24 May - 30 May 20,2020-05-24,121,42.4,12.0,0.0
50-69,Mujer,22,31 May - 06 Jun 20,2020-05-31,157,29.8,16.0,33.3
50-69,Mujer,23,07 Jun - 13 Jun 20,2020-06-07,168,7.0,11.0,-31.2
50-69,Mujer,24,14 Jun - 20 Jun 20,2020-06-14,190,13.1,10.0,-9.1
50-69,Mujer,25,21 Jun - 27 Jun 20,2020-06-21,139,-26.8,9.0,-10.0
50-69,Mujer,26,28 Jun - 04 Jul 20,2020-06-28,123,-11.5,10.0,11.1
50-69,Mujer,27,05 Jul - 11 Jul 20,2020-07-05,90,-26.8,6.0,-40.0
50-69,Mujer,28,12 Jul - 18 Jul 20,2020-07-12,84,-6.7,6.0,0.0
50-69,Mujer,29,19 Jul - 25 Jul 20,2020-07-19,70,-16.7,5.0,-16.7
50-69,Mujer,30,26 Jul - 01 Aug 20,2020-07-26,67,-4.3,4.0,-20.0
50-69,Mujer,31,02 Aug - 08 Aug 20,2020-08-02,79,17.9,4.0,0.0
50-69,Mujer,32,09 Aug - 15 Aug 20,2020-08-09,52,-34.2,4.0,0.0
50-69,Mujer,33,16 Aug - 22 Aug 20,2020-08-16,53,1.9,5.0,25.0
50-69,Mujer,34,23 Aug - 29 Aug 20,2020-08-23,42,-20.8,4.0,-20.0
50-69,Mujer,35,30 Aug - 05 Sep 20,2020-08-30,67,59.5,3.0,-25.0
50-69,Mujer,36,06 Sep - 12 Sep 20,2020-09-06,33,-50.7,3.0,0.0
50-69,Mujer,37,13 Sep - 19 Sep 20,2020-09-13,47,42.4,3.0,0.0
50-69,Mujer,38,20 Sep - 26 Sep 20,2020-09-20,52,10.6,3.0,0.0
50-69,Mujer,39,27 Sep - 03 Oct 20,2020-09-27,35,-32.7,4.0,33.3
50-69,Mujer,40,04 Oct - 10 Oct 20,2020-10-04,55,57.1,3.0,-25.0
50-69,Mujer,41,11 Oct - 17 Oct 20,2020-10-11,38,-30.9,3.0,0.0
50-69,Mujer,42,18 Oct - 24 Oct 20,2020-10-18,45,18.4,3.0,0.0
50-69,Mujer,43,25 Oct - 31 Oct 20,2020-10-25,36,-20.0,3.0,0.0
50-69,Mujer,44,01 Nov - 07 Nov 20,2020-11-01,43,19.4,2.0,-33.3
50-69,Mujer,45,08 Nov - 14 Nov 20,2020-11-08,38,-11.6,3.0,50.0
50-69,Mujer,46,15 Nov - 21 Nov 20,2020-11-15,35,-7.9,3.0,0.0
50-69,Mujer,47,22 Nov - 28 Nov 20,2020-11-22,34,-2.9,2.0,-33.3
50-69,Mujer,48,29 Nov - 05 Dec 20,2020-11-29,43,26.5,3.0,50.0
50-69,Mujer,49,06 Dec - 12 Dec 20,2020-12-06,22,-48.8,3.0,0.0
50-69,Mujer,50,13 Dec - 19 Dec 20,2020-12-13,39,77.3,3.0,0.0
50-69,Mujer,51,20 Dec - 26 Dec 20,2020-12-20,40,2.6,4.0,33.3
50-69,Mujer,52,27 Dec - 02 Jan 21,2020-12-27,27,-32.5,5.0,25.0
50-69,Mujer,53,03 Jan - 09 Jan 21,2021-01-03,48,77.8,4.0,-20.0
50-69,Mujer,54,10 Jan - 16 Jan 21,2021-01-10,49,2.1,4.0,0.0
50-69,Mujer,55,17 Jan - 23 Jan 21,2021-01-17,62,26.5,4.0,0.0
50-69,Mujer,56,24 Jan - 30 Jan 21,2021-01-24,64,3.2,5.0,25.0
50-69,Mujer,57,31 Jan - 06 Feb 21,2021-01-31,57,-10.9,6.0,20.0
50-69,Mujer,58,07 Feb - 13 Feb 21,2021-02-07,67,17.5,5.0,-16.7
50-69,Mujer,59,14 Feb - 20 Feb 21,2021-02-14,66,-1.5,5.0,0.0
50-69,Mujer,60,21 Feb - 27 Feb 21,2021-02-21,56,-15.2,5.0,0.0
50-69,Mujer,61,28 Feb - 06 Mar 21,2021-02-28,61,8.9,6.0,20.0
50-69,Mujer,62,07 Mar - 13 Mar 21,2021-03-07,66,8.2,7.0,16.7
50-69,Mujer,63,14 Mar - 20 Mar 21,2021-03-14,79,19.7,9.0,28.6
50-69,Mujer,64,21 Mar - 27 Mar 21,2021-03-21,105,32.9,7.0,-22.2
50-69,Mujer,65,28 Mar - 03 Apr 21,2021-03-28,111,5.7,10.0,42.9
50-69,Mujer,66,04 Apr - 10 Apr 21,2021-04-04,124,11.7,13.0,30.0
50-69,Mujer,67,11 Apr - 17 Apr 21,2021-04-11,118,-4.8,9.0,-30.8
50-69,Mujer,68,18 Apr - 21 Apr 21,2021-04-18,45,-61.9,1.0,-88.9
<50,Hombre,13,29 Mar - 04 Apr 20,2020-03-29,4,-91.1,2.0,100.0
<50,Hombre,14,05 Apr - 11 Apr 20,2020-04-05,2,-50.0,6.0,200.0
<50,Hombre,15,12 Apr - 18 Apr 20,2020-04-12,2,0.0,9.0,50.0
<50,Hombre,16,19 Apr - 25 Apr 20,2020-04-19,3,50.0,8.0,-11.1
<50,Hombre,17,26 Apr - 02 May 20,2020-04-26,9,200.0,11.0,37.5
<50,Hombre,18,03 May - 09 May 20,2020-05-03,12,33.3,14.0,27.3
<50,Hombre,19,10 May - 16 May 20,2020-05-10,21,75.0,21.0,50.0
<50,Hombre,20,17 May - 23 May 20,2020-05-17,35,66.7,35.0,66.7
<50,Hombre,21,24 May - 30 May 20,2020-05-24,62,77.1,68.0,94.3
<50,Hombre,22,31 May - 06 Jun 20,2020-05-31,54,-12.9,111.0,63.2
<50,Hombre,23,07 Jun - 13 Jun 20,2020-06-07,72,33.3,144.0,29.7
<50,Hombre,24,14 Jun - 20 Jun 20,2020-06-14,50,-30.6,158.0,9.7
<50,Hombre,25,21 Jun - 27 Jun 20,2020-06-21,46,-8.0,143.0,-9.5
<50,Hombre,26,28 Jun - 04 Jul 20,2020-06-28,43,-6.5,117.0,-18.2
<50,Hombre,27,05 Jul - 11 Jul 20,2020-07-05,39,-9.3,97.0,-17.1
<50,Hombre,28,12 Jul - 18 Jul 20,2020-07-12,27,-30.8,82.0,-15.5
<50,Hombre,29,19 Jul - 25 Jul 20,2020-07-19,29,7.4,72.0,-12.2
<50,Hombre,30,26 Jul - 01 Aug 20,2020-07-26,26,-10.3,63.0,-12.5
<50,Hombre,31,02 Aug - 08 Aug 20,2020-08-02,13,-50.0,59.0,-6.3
<50,Hombre,32,09 Aug - 15 Aug 20,2020-08-09,19,46.2,49.0,-16.9
<50,Hombre,33,16 Aug - 22 Aug 20,2020-08-16,17,-10.5,44.0,-10.2
<50,Hombre,34,23 Aug - 29 Aug 20,2020-08-23,14,-17.6,50.0,13.6
<50,Hombre,35,30 Aug - 05 Sep 20,2020-08-30,16,14.3,45.0,-10.0
<50,Hombre,36,06 Sep - 12 Sep 20,2020-09-06,14,-12.5,42.0,-6.7
<50,Hombre,37,13 Sep - 19 Sep 20,2020-09-13,16,14.3,45.0,7.1
<50,Hombre,38,20 Sep - 26 Sep 20,2020-09-20,11,-31.2,42.0,-6.7
<50,Hombre,39,27 Sep - 03 Oct 20,2020-09-27,8,-27.3,39.0,-7.1
<50,Hombre,40,04 Oct - 10 Oct 20,2020-10-04,12,50.0,41.0,5.1
<50,Hombre,41,11 Oct - 17 Oct 20,2020-10-11,11,-8.3,36.0,-12.2
<50,Hombre,42,18 Oct - 24 Oct 20,2020-10-18,16,45.5,37.0,2.8
<50,Hombre,43,25 Oct - 31 Oct 20,2020-10-25,15,-6.2,34.0,-8.1
<50,Hombre,44,01 Nov - 07 Nov 20,2020-11-01,13,-13.3,35.0,2.9
<50,Hombre,45,08 Nov - 14 Nov 20,2020-11-08,8,-38.5,35.0,0.0
<50,Hombre,46,15 Nov - 21 Nov 20,2020-11-15,6,-25.0,30.0,-14.3
<50,Hombre,47,22 Nov - 28 Nov 20,2020-11-22,10,66.7,27.0,-10.0
<50,Hombre,48,29 Nov - 05 Dec 20,2020-11-29,10,0.0,31.0,14.8
<50,Hombre,49,06 Dec - 12 Dec 20,2020-12-06,12,20.0,30.0,-3.2
<50,Hombre,50,13 Dec - 19 Dec 20,2020-12-13,12,0.0,33.0,10.0
<50,Hombre,51,20 Dec - 26 Dec 20,2020-12-20,13,8.3,32.0,-3.0
<50,Hombre,52,27 Dec - 02 Jan 21,2020-12-27,22,69.2,36.0,12.5
<50,Hombre,53,03 Jan - 09 Jan 21,2021-01-03,25,13.6,34.0,-5.6
<50,Hombre,54,10 Jan - 16 Jan 21,2021-01-10,25,0.0,44.0,29.4
<50,Hombre,55,17 Jan - 23 Jan 21,2021-01-17,18,-28.0,45.0,2.3
<50,Hombre,56,24 Jan - 30 Jan 21,2021-01-24,18,0.0,55.0,22.2
<50,Hombre,57,31 Jan - 06 Feb 21,2021-01-31,19,5.6,61.0,10.9
<50,Hombre,58,07 Feb - 13 Feb 21,2021-02-07,27,42.1,63.0,3.3
<50,Hombre,59,14 Feb - 20 Feb 21,2021-02-14,23,-14.8,58.0,-7.9
<50,Hombre,60,21 Feb - 27 Feb 21,2021-02-21,22,-4.3,56.0,-3.4
<50,Hombre,61,28 Feb - 06 Mar 21,2021-02-28,22,0.0,57.0,1.8
<50,Hombre,62,07 Mar - 13 Mar 21,2021-03-07,23,4.5,59.0,3.5
<50,Hombre,63,14 Mar - 20 Mar 21,2021-03-14,26,13.0,66.0,11.9
<50,Hombre,64,21 Mar - 27 Mar 21,2021-03-21,35,34.6,65.0,-1.5
<50,Hombre,65,28 Mar - 03 Apr 21,2021-03-28,33,-5.7,65.0,0.0
<50,Hombre,66,04 Apr - 10 Apr 21,2021-04-04,39,18.2,70.0,7.7
<50,Hombre,67,11 Apr - 17 Apr 21,2021-04-11,60,53.8,77.0,10.0
<50,Hombre,68,18 Apr - 21 Apr 21,2021-04-18,23,-61.7,80.0,3.9
<50,Mujer,14,05 Apr - 11 Apr 20,2020-04-05,2,-91.3,43.0,-46.2
<50,Mujer,16,19 Apr - 25 Apr 20,2020-04-19,5,150.0,,
<50,Mujer,17,26 Apr - 02 May 20,2020-04-26,4,-20.0,,
<50,Mujer,18,03 May - 09 May 20,2020-05-03,7,75.0,,
<50,Mujer,19,10 May - 16 May 20,2020-05-10,11,57.1,,
<50,Mujer,20,17 May - 23 May 20,2020-05-17,20,81.8,,
<50,Mujer,21,24 May - 30 May 20,2020-05-24,21,5.0,,
<50,Mujer,22,31 May - 06 Jun 20,2020-05-31,31,47.6,,
<50,Mujer,23,07 Jun - 13 Jun 20,2020-06-07,38,22.6,,
<50,Mujer,24,14 Jun - 20 Jun 20,2020-06-14,30,-21.1,,
<50,Mujer,25,21 Jun - 27 Jun 20,2020-06-21,25,-16.7,,
<50,Mujer,26,28 Jun - 04 Jul 20,2020-06-28,20,-20.0,,
<50,Mujer,27,05 Jul - 11 Jul 20,2020-07-05,28,40.0,,
<50,Mujer,28,12 Jul - 18 Jul 20,2020-07-12,16,-42.9,,
<50,Mujer,29,19 Jul - 25 Jul 20,2020-07-19,11,-31.2,,
<50,Mujer,30,26 Jul - 01 Aug 20,2020-07-26,12,9.1,,
<50,Mujer,31,02 Aug - 08 Aug 20,2020-08-02,12,0.0,,
<50,Mujer,32,09 Aug - 15 Aug 20,2020-08-09,8,-33.3,,
<50,Mujer,33,16 Aug - 22 Aug 20,2020-08-16,11,37.5,,
<50,Mujer,34,23 Aug - 29 Aug 20,2020-08-23,19,72.7,,
<50,Mujer,35,30 Aug - 05 Sep 20,2020-08-30,9,-52.6,,
<50,Mujer,36,06 Sep - 12 Sep 20,2020-09-06,8,-11.1,,
<50,Mujer,37,13 Sep - 19 Sep 20,2020-09-13,8,0.0,,
<50,Mujer,38,20 Sep - 26 Sep 20,2020-09-20,12,50.0,,
<50,Mujer,39,27 Sep - 03 Oct 20,2020-09-27,15,25.0,,
<50,Mujer,40,04 Oct - 10 Oct 20,2020-10-04,13,-13.3,,
<50,Mujer,41,11 Oct - 17 Oct 20,2020-10-11,12,-7.7,,
<50,Mujer,42,18 Oct - 24 Oct 20,2020-10-18,3,-75.0,,
<50,Mujer,43,25 Oct - 31 Oct 20,2020-10-25,8,166.7,,
<50,Mujer,44,01 Nov - 07 Nov 20,2020-11-01,11,37.5,,
<50,Mujer,45,08 Nov - 14 Nov 20,2020-11-08,6,-45.5,,
<50,Mujer,46,15 Nov - 21 Nov 20,2020-11-15,15,150.0,,
<50,Mujer,47,22 Nov - 28 Nov 20,2020-11-22,9,-40.0,,
<50,Mujer,48,29 Nov - 05 Dec 20,2020-11-29,4,-55.6,,
<50,Mujer,49,06 Dec - 12 Dec 20,2020-12-06,9,125.0,,
<50,Mujer,50,13 Dec - 19 Dec 20,2020-12-13,7,-22.2,,
<50,Mujer,51,20 Dec - 26 Dec 20,2020-12-20,8,14.3,,
<50,Mujer,52,27 Dec - 02 Jan 21,2020-12-27,8,0.0,,
<50,Mujer,53,03 Jan - 09 Jan 21,2021-01-03,12,50.0,,
<50,Mujer,54,10 Jan - 16 Jan 21,2021-01-10,2,-83.3,,
<50,Mujer,55,17 Jan - 23 Jan 21,2021-01-17,12,500.0,,
<50,Mujer,56,24 Jan - 30 Jan 21,2021-01-24,11,-8.3,,
<50,Mujer,57,31 Jan - 06 Feb 21,2021-01-31,16,45.5,,
<50,Mujer,58,07 Feb - 13 Feb 21,2021-02-07,15,-6.2,,
<50,Mujer,59,14 Feb - 20 Feb 21,2021-02-14,12,-20.0,,
<50,Mujer,60,21 Feb - 27 Feb 21,2021-02-21,12,0.0,,
<50,Mujer,61,28 Feb - 06 Mar 21,2021-02-28,13,8.3,,
<50,Mujer,62,07 Mar - 13 Mar 21,2021-03-07,20,53.8,,
<50,Mujer,63,14 Mar - 20 Mar 21,2021-03-14,21,5.0,,
<50,Mujer,64,21 Mar - 27 Mar 21,2021-03-21,25,19.0,,
<50,Mujer,65,28 Mar - 03 Apr 21,2021-03-28,17,-32.0,,
<50,Mujer,66,04 Apr - 10 Apr 21,2021-04-04,29,70.6,,
<50,Mujer,67,11 Apr - 17 Apr 21,2021-04-11,33,13.8,,
<50,Mujer,68,18 Apr - 21 Apr 21,2021-04-18,14,-57.6,,
>=70,Hombre,11,16 Mar - 21 Mar 20,2020-03-16,2,-85.7,,
>=70,Hombre,12,22 Mar - 28 Mar 20,2020-03-22,6,200.0,,
>=70,Hombre,13,29 Mar - 04 Apr 20,2020-03-29,19,216.7,,
>=70,Hombre,14,05 Apr - 11 Apr 20,2020-04-05,37,94.7,,
>=70,Hombre,15,12 Apr - 18 Apr 20,2020-04-12,34,-8.1,,
>=70,Hombre,16,19 Apr - 25 Apr 20,2020-04-19,42,23.5,,
>=70,Hombre,17,26 Apr - 02 May 20,2020-04-26,52,23.8,,
>=70,Hombre,18,03 May - 09 May 20,2020-05-03,73,40.4,,
>=70,Hombre,19,10 May - 16 May 20,2020-05-10,123,68.5,,
>=70,Hombre,20,17 May - 23 May 20,2020-05-17,241,95.9,,
>=70,Hombre,21,24 May - 30 May 20,2020-05-24,403,67.2,,
>=70,Hombre,22,31 May - 06 Jun 20,2020-05-31,545,35.2,,
>=70,Hombre,23,07 Jun - 13 Jun 20,2020-06-07,621,13.9,,
>=70,Hombre,24,14 Jun - 20 Jun 20,2020-06-14,514,-17.2,,
>=70,Hombre,25,21 Jun - 27 Jun 20,2020-06-21,422,-17.9,,
>=70,Hombre,26,28 Jun - 04 Jul 20,2020-06-28,366,-13.3,,
>=70,Hombre,27,05 Jul - 11 Jul 20,2020-07-05,334,-8.7,,
>=70,Hombre,28,12 Jul - 18 Jul 20,2020-07-12,274,-18.0,,
>=70,Hombre,29,19 Jul - 25 Jul 20,2020-07-19,225,-17.9,,
>=70,Hombre,30,26 Jul - 01 Aug 20,2020-07-26,233,3.6,,
>=70,Hombre,31,02 Aug - 08 Aug 20,2020-08-02,180,-22.7,,
>=70,Hombre,32,09 Aug - 15 Aug 20,2020-08-09,146,-18.9,,
>=70,Hombre,33,16 Aug - 22 Aug 20,2020-08-16,181,24.0,,
>=70,Hombre,34,23 Aug - 29 Aug 20,2020-08-23,155,-14.4,,
>=70,Hombre,35,30 Aug - 05 Sep 20,2020-08-30,157,1.3,,
>=70,Hombre,36,06 Sep - 12 Sep 20,2020-09-06,181,15.3,,
>=70,Hombre,37,13 Sep - 19 Sep 20,2020-09-13,145,-19.9,,
>=70,Hombre,38,20 Sep - 26 Sep 20,2020-09-20,142,-2.1,,
>=70,Hombre,39,27 Sep - 03 Oct 20,2020-09-27,136,-4.2,,
>=70,Hombre,40,04 Oct - 10 Oct 20,2020-10-04,116,-14.7,,
>=70,Hombre,41,11 Oct - 17 Oct 20,2020-10-11,130,12.1,,
>=70,Hombre,42,18 Oct - 24 Oct 20,2020-10-18,107,-17.7,,
>=70,Hombre,43,25 Oct - 31 Oct 20,2020-10-25,133,24.3,,
>=70,Hombre,44,01 Nov - 07 Nov 20,2020-11-01,130,-2.3,,
>=70,Hombre,45,08 Nov - 14 Nov 20,2020-11-08,115,-11.5,,
>=70,Hombre,46,15 Nov - 21 Nov 20,2020-11-15,97,-15.7,,
>=70,Hombre,47,22 Nov - 28 Nov 20,2020-11-22,113,16.5,,
>=70,Hombre,48,29 Nov - 05 Dec 20,2020-11-29,119,5.3,,
>=70,Hombre,49,06 Dec - 12 Dec 20,2020-12-06,115,-3.4,,
>=70,Hombre,50,13 Dec - 19 Dec 20,2020-12-13,117,1.7,,
>=70,Hombre,51,20 Dec - 26 Dec 20,2020-12-20,123,5.1,,
>=70,Hombre,52,27 Dec - 02 Jan 21,2020-12-27,135,9.8,,
>=70,Hombre,53,03 Jan - 09 Jan 21,2021-01-03,165,22.2,,
>=70,Hombre,54,10 Jan - 16 Jan 21,2021-01-10,168,1.8,,
>=70,Hombre,55,17 Jan - 23 Jan 21,2021-01-17,198,17.9,,
>=70,Hombre,56,24 Jan - 30 Jan 21,2021-01-24,212,7.1,,
>=70,Hombre,57,31 Jan - 06 Feb 21,2021-01-31,248,17.0,,
>=70,Hombre,58,07 Feb - 13 Feb 21,2021-02-07,216,-12.9,,
>=70,Hombre,59,14 Feb - 20 Feb 21,2021-02-14,210,-2.8,,
>=70,Hombre,60,21 Feb - 27 Feb 21,2021-02-21,215,2.4,,
>=70,Hombre,61,28 Feb - 06 Mar 21,2021-02-28,207,-3.7,,
>=70,Hombre,62,07 Mar - 13 Mar 21,2021-03-07,239,15.5,,
>=70,Hombre,63,14 Mar - 20 Mar 21,2021-03-14,244,2.1,,
>=70,Hombre,64,21 Mar - 27 Mar 21,2021-03-21,248,1.6,,
>=70,Hombre,65,28 Mar - 03 Apr 21,2021-03-28,256,3.2,,
>=70,Hombre,66,04 Apr - 10 Apr 21,2021-04-04,263,2.7,,
>=70,Hombre,67,11 Apr - 17 Apr 21,2021-04-11,260,-1.1,,
>=70,Hombre,68,18 Apr - 21 Apr 21,2021-04-18,81,-68.8,,
>=70,Mujer,11,16 Mar - 21 Mar 20,2020-03-16,2,-97.5,,
>=70,Mujer,12,22 Mar - 28 Mar 20,2020-03-22,7,250.0,,
>=70,Mujer,13,29 Mar - 04 Apr 20,2020-03-29,21,200.0,,
>=70,Mujer,14,05 Apr - 11 Apr 20,2020-04-05,28,33.3,,
>=70,Mujer,15,12 Apr - 18 Apr 20,2020-04-12,24,-14.3,,
>=70,Mujer,16,19 Apr - 25 Apr 20,2020-04-19,32,33.3,,
>=70,Mujer,17,26 Apr - 02 May 20,2020-04-26,49,53.1,,
>=70,Mujer,18,03 May - 09 May 20,2020-05-03,73,49.0,,
>=70,Mujer,19,10 May - 16 May 20,2020-05-10,121,65.8,,
>=70,Mujer,20,17 May - 23 May 20,2020-05-17,234,93.4,,
>=70,Mujer,21,24 May - 30 May 20,2020-05-24,371,58.5,,
>=70,Mujer,22,31 May - 06 Jun 20,2020-05-31,460,24.0,,
>=70,Mujer,23,07 Jun - 13 Jun 20,2020-06-07,488,6.1,,
>=70,Mujer,24,14 Jun - 20 Jun 20,2020-06-14,486,-0.4,,
>=70,Mujer,25,21 Jun - 27 Jun 20,2020-06-21,395,-18.7,,
>=70,Mujer,26,28 Jun - 04 Jul 20,2020-06-28,316,-20.0,,
>=70,Mujer,27,05 Jul - 11 Jul 20,2020-07-05,243,-23.1,,
>=70,Mujer,28,12 Jul - 18 Jul 20,2020-07-12,229,-5.8,,
>=70,Mujer,29,19 Jul - 25 Jul 20,2020-07-19,216,-5.7,,
>=70,Mujer,30,26 Jul - 01 Aug 20,2020-07-26,183,-15.3,,
>=70,Mujer,31,02 Aug - 08 Aug 20,2020-08-02,165,-9.8,,
>=70,Mujer,32,09 Aug - 15 Aug 20,2020-08-09,163,-1.2,,
>=70,Mujer,33,16 Aug - 22 Aug 20,2020-08-16,167,2.5,,
>=70,Mujer,34,23 Aug - 29 Aug 20,2020-08-23,159,-4.8,,
>=70,Mujer,35,30 Aug - 05 Sep 20,2020-08-30,134,-15.7,,
>=70,Mujer,36,06 Sep - 12 Sep 20,2020-09-06,135,0.7,,
>=70,Mujer,37,13 Sep - 19 Sep 20,2020-09-13,149,10.4,,
>=70,Mujer,38,20 Sep - 26 Sep 20,2020-09-20,128,-14.1,,
>=70,Mujer,39,27 Sep - 03 Oct 20,2020-09-27,152,18.8,,
>=70,Mujer,40,04 Oct - 10 Oct 20,2020-10-04,136,-10.5,,
