grupo_etario,semana,semana_texto,fecha_inicio_semana,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom,cambio_porcentual_diarios
50-69,11,16 Mar - 21 Mar 20,2020-03-16,3,0,0,
50-69,12,22 Mar - 28 Mar 20,2020-03-22,1,-66.7,0,
50-69,13,29 Mar - 04 Apr 20,2020-03-29,16,1500.0,2,0
50-69,14,05 Apr - 11 Apr 20,2020-04-05,21,31.2,3,50.0
50-69,15,12 Apr - 18 Apr 20,2020-04-12,24,14.3,3,0.0
50-69,16,19 Apr - 25 Apr 20,2020-04-19,32,33.3,5,66.7
50-69,17,26 Apr - 02 May 20,2020-04-26,28,-12.5,4,-20.0
50-69,18,03 May - 09 May 20,2020-05-03,57,103.6,8,100.0
50-69,19,10 May - 16 May 20,2020-05-10,113,98.2,16,100.0
50-69,20,17 May - 23 May 20,2020-05-17,209,85.0,30,87.5
50-69,21,24 May - 30 May 20,2020-05-24,345,65.1,49,63.3
50-69,22,31 May - 06 Jun 20,2020-05-31,472,36.8,67,36.7
50-69,23,07 Jun - 13 Jun 20,2020-06-07,484,2.5,69,3.0
50-69,24,14 Jun - 20 Jun 20,2020-06-14,511,5.6,73,5.8
50-69,25,21 Jun - 27 Jun 20,2020-06-21,420,-17.8,60,-17.8
50-69,26,28 Jun - 04 Jul 20,2020-06-28,371,-11.7,53,-11.7
50-69,27,05 Jul - 11 Jul 20,2020-07-05,292,-21.3,42,-20.8
50-69,28,12 Jul - 18 Jul 20,2020-07-12,257,-12.0,37,-11.9
50-69,29,19 Jul - 25 Jul 20,2020-07-19,209,-18.7,30,-18.9
50-69,30,26 Jul - 01 Aug 20,2020-07-26,192,-8.1,27,-10.0
50-69,31,02 Aug - 08 Aug 20,2020-08-02,172,-10.4,25,-7.4
50-69,32,09 Aug - 15 Aug 20,2020-08-09,146,-15.1,21,-16.0
50-69,33,16 Aug - 22 Aug 20,2020-08-16,159,8.9,23,9.5
50-69,34,23 Aug - 29 Aug 20,2020-08-23,126,-20.8,18,-21.7
50-69,35,30 Aug - 05 Sep 20,2020-08-30,155,23.0,22,22.2
50-69,36,06 Sep - 12 Sep 20,2020-09-06,94,-39.4,13,-40.9
50-69,37,13 Sep - 19 Sep 20,2020-09-13,106,12.8,15,15.4
50-69,38,20 Sep - 26 Sep 20,2020-09-20,122,15.1,17,13.3
50-69,39,27 Sep - 03 Oct 20,2020-09-27,112,-8.2,16,-5.9
50-69,40,04 Oct - 10 Oct 20,2020-10-04,123,9.8,18,12.5
